_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
206,2017-09-01T00:00:00,127.1,128.1,129.7,73.3,39.3,15,Tax,Taxe
207,2017-09-01T00:00:00,193.6,202.8,199.6,146.2,118.4,85.9,Total,Totale
208,2017-10-01T00:00:00,66.2,73.5,70.1,76.8,76.5,68.1,Base,Base
209,2017-10-01T00:00:00,128.8,129.4,131.1,74,39.2,15.4,Tax,Taxe
210,2017-10-01T00:00:00,195,202.9,201.2,150.7,115.7,83.4,Total,Totale
211,2017-11-01T00:00:00,69.7,74,76.5,81.8,83.7,70.8,Base,Base
212,2017-11-01T00:00:00,131.5,130.8,133.8,75.3,39.6,15.6,Tax,Taxe
213,2017-11-01T00:00:00,201.2,204.9,210.2,157.1,123.3,86.4,Total,Totale
214,2017-12-01T00:00:00,71.9,73.5,77.3,84.4,80.4,68,Base,Base
215,2017-12-01T00:00:00,133.5,131.6,134.9,75.6,39.3,15.6,Tax,Taxe
216,2017-12-01T00:00:00,205.4,205,212.2,160.1,119.7,83.5,Total,Totale
217,2018-01-01T00:00:00,73.7,74.9,80.8,85.8,84.1,68.8,Base,Base
218,2018-01-01T00:00:00,134.3,132.4,140.9,75.1,39.5,15.2,Tax,Taxe
219,2018-01-01T00:00:00,208,207.3,221.7,160.9,123.6,83.9,Total,Totale
220,2018-02-01T00:00:00,75.1,74.8,82.7,90.5,83.6,70.6,Base,Base
221,2018-02-01T00:00:00,137.4,135.3,145.4,78.2,39.5,15.5,Tax,Taxe
222,2018-02-01T00:00:00,212.6,210.1,228.1,168.7,123.1,86.1,Total,Totale
223,2018-03-01T00:00:00,74.7,73.4,83.2,93.5,87.4,72.6,Base,Base
224,2018-03-01T00:00:00,140.8,138.1,148.8,81.7,39.8,15.9,Tax,Taxe
225,2018-03-01T00:00:00,215.5,211.5,232,175.2,127.2,88.5,Total,Totale
